TF,Rank,Freq
bHLH071,1437,1
AT5G46710,1438,1
MYC3,1439,1
NIG1,1440,1
HDG5,1441,1
AT5G46910,1442,1
ERF2,1443,1
ERF5,1444,1
HAT2,1445,1
AT5G47390,1446,1
NF-YB2,1447,1
NF-YB6,1448,1
AT5G47790,1449,1
PAT1,1450,1
AT5G48250,1451,1
AT5G48560,1452,1
AT5G49200,1453,1
PRR4,1454,1
PFG3,1455,1
bZIP1,1456,1
WRKY48,1457,1
MYB78,1458,1
NF-YC7,1459,1
NF-YC6,1460,1
SPL13B,1461,1
NAC097,1462,1
AT5G50915,1463,1
AT5G51190,1464,1
AGL72,1465,1
AGL71,1466,1
AT5G51910,1467,1
AT5G51980,1468,1
DREB1D,1469,1
AT5G52010,1470,1
AT5G52020,1471,1
HDG7,1472,1
MYB19,1473,1
SCL8,1474,1
AT5G52660,1475,1
WRKY27,1476,1
TRY,1477,1
SPCH,1478,1
CRF3,1479,1
AT5G53420,1480,1
SET29,1481,1
GRF7,1482,1
CUC2,1483,1
HB52,1484,1
HSFA9,1485,1
MYB49,1486,1
AT5G54630,1487,1
ILR3,1488,1
MYB120,1489,1
MYB80,1490,1
AT5G56200,1491,1
WRKY2,1492,1
NAC099,1493,1
ET2,1494,1
GNC,1495,1
AT5G56900,1496,1
AT5G57150,1497,1
CIA2,1498,1
PLT5,1499,1
IAA33,1500,1
ZFP2,1501,1
MYB36,1502,1
COL5,1503,1
AT5G57720,1504,1
LRL3,1505,1
RR18,1506,1
AT5G58280,1507,1
AT5G58340,1508,1
AT5G58610,1509,1
AT5G58620,1510,1
MYB119,1511,1
AGL82,1512,1
AT5G58900,1513,1
WOX2,1514,1
AT5G59450,1515,1
MYB59,1516,1
ZAT12,1517,1
AT5G59990,1518,1
PRR3,1519,1
TOE2,1520,1
AT5G60130,1521,1
AT5G60140,1522,1
TMO6,1523,1
SIZ1,1524,1
AGL62,1525,1
ARF4,1526,1
AT5G60470,1527,1
REV,1528,1
OBP4,1529,1
MYB34,1530,1
FUL,1531,1
TCP5,1532,1
AT5G61190,1533,1
TOC1,1534,1
PMG1,1535,1
NAC100,1536,1
AT5G61470,1537,1
AT5G61590,1538,1
ERF104,1539,1
AT5G61620,1540,1
LFY3,1541,1
AT5G61890,1542,1
ORE14,1543,1
HSFB2A,1544,1
FYF,1545,1
MYB99,1546,1
VND6,1547,1
CDF1,1548,1
MYBCOV1,1549,1
AT5G62610,1550,1
HCA2,1551,1
AT5G63080,1552,1
AT5G63260,1553,1
AT5G63280,1554,1
emb2746,1555,1
NF-YC4,1556,1
NAC102,1557,1
AT5G63900,1558,1
NAC103,1559,1
AT5G64220,1560,1
HAM1,1561,1
MAF2,1562,1
MAF4,1563,1
MAF5,1564,1
AT5G65100,1565,1
AT5G65130,1566,1
TGA1,1567,1
MYB53,1568,1
HB5,1569,1
AT5G65320,1570,1
AGL78,1571,1
ZHD1,1572,1
PLT7,1573,1
AT5G65590,1574,1
bHLH093,1575,1
IAA9,1576,1
MYB68,1577,1
VND3,1578,1
GATA5,1579,1
SHI,1580,1
DAR7,1581,1
DAR6,1582,1
DAR5,1583,1
HB53,1584,1
IDD1,1585,1
AT5G66770,1586,1
AT5G66940,1587,1
AT5G66980,1588,1
AT5G67000,1589,1
AT5G67010,1590,1
ZEP,1591,1
HEC1,1592,1
ALC,1593,1
TOE3,1594,1
DEAR2,1595,1
MYBR1,1596,1
LBD37,1597,1
ZF1,1598,1
BT4,1599,1
TRB2,1600,1
